date,deaths
2020-3-23,114
2020-3-24,157
2020-3-25,285
2020-3-26,385
2020-3-27,519
2020-3-28,728
2020-3-29,965
2020-3-30,1342
2020-3-31,1550
2020-4-1,1941
2020-4-2,2468
2020-4-3,2935
2020-4-4,3565
2020-4-5,4159
2020-4-6,4758
2020-4-7,5489
2020-4-8,6268
2020-4-9,7067
2020-4-10,7844
2020-4-11,8627
2020-4-12,9385
2020-4-13,10056
2020-4-14,10834
2020-4-15,11500
2020-4-16,12106
2020-4-17,12736
2020-4-18,13362
2020-4-19,13869
2020-4-20,14347
2020-4-21,14828
2020-4-22,15302
2020-4-23,15740
2020-4-24,16162